OBJECTID,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,STATION_NAME_ENGLISH,lines_present,line_count,lines_present_json,is_tagged
17737,ONE-NORTH MRT STATION,Exit B,45A9A4D683B771BF,20251202172807,ONE-NORTH MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17738,OUTRAM PARK MRT STATION,Exit 3,00AC1131DC50AE35,20251202172807,OUTRAM PARK MRT STATION,"['East-West Line', 'North East Line', 'Thomson-East Coast Line']",3,"[""East-West Line"", ""North East Line"", ""Thomson-East Coast Line""]",True
17739,DOVER MRT STATION,Exit A,3350D5255C75B2ED,20251202172807,DOVER MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17740,DOVER MRT STATION,Exit B,F180ED4FDDA94062,20251202172807,DOVER MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17741,BOON LAY MRT STATION,Exit D,A277212C952A5DE9,20251202172807,BOON LAY MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17742,BOON LAY MRT STATION,Exit E,A16B7FAC4E5AB117,20251202172807,BOON LAY MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17743,BOON LAY MRT STATION,Exit F,0E296E75C6372829,20251202172807,BOON LAY MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17744,BUKIT BATOK MRT STATION,Exit B,474392E67F3BCE9B,20251202172807,BUKIT BATOK MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17745,JOO KOON MRT STATION,Exit A,AFF1FA0853BEBB53,20251202172807,JOO KOON MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17746,JOO KOON MRT STATION,Exit B,93D34F9CC519E4F1,20251202172807,JOO KOON MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17747,CHOA CHU KANG MRT STATION,Exit D,B98A2C3B9DA5DE50,20251202172807,CHOA CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17748,KRANJI MRT STATION,Exit D,EFEBDF844A7E944C,20251202172807,KRANJI MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17749,MARSILING MRT STATION,Exit B,0449B4DEFBEC025F,20251202172807,MARSILING MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17750,MARSILING MRT STATION,Exit D,AC661F5F30DEBD6A,20251202172807,MARSILING MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17751,HARBOURFRONT MRT STATION,Exit E,FF2613B98FF1665F,20251202172807,HARBOURFRONT MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17752,HARBOURFRONT MRT STATION,Exit D,690B8B15B6CB2137,20251202172807,HARBOURFRONT MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
